# Jieba 自定義詞典 - 神通資訊科技 HR/IT 領域詞彙
# 格式: 詞彙 詞頻 詞性
# 詞頻越高，Jieba 越傾向將其識別為單一詞彙

# === 請假類型 ===
特休 100 n
年假 100 n
特別休假 100 n
年度休假 100 n
病假 100 n
疾病假 100 n
事假 100 n
婚假 100 n
喪假 100 n
產假 100 n
陪產假 100 n
育嬰假 100 n
育嬰留停 100 n
育嬰留職停薪 100 n
公假 100 n
公傷假 100 n
職災假 100 n
工傷假 100 n
生理假 100 n
家庭照顧假 100 n

# === 出勤相關 ===
刷卡 100 v
打卡 100 v
考勤 100 n
差勤 100 n
忘刷 100 v
漏刷 100 v
補刷卡 100 v
卡鐘 100 n
打卡機 100 n
刷卡機 100 n
考勤機 100 n
門禁 100 n
加班 100 v
超時工作 100 v
延長工時 100 v
補休 100 v
補假 100 v
調休 100 v
彈性工時 100 n
彈性上下班 100 n
遲到 100 v
早退 100 v
曠職 100 v

# === 人事作業 ===
招募 100 v
甄選 100 v
面試 100 v
面談 100 v
試用 100 v
試用期 100 n
試用考核 100 n
離職 100 v
辭職 100 v
資遣 100 v
解僱 100 v
離職證明 100 n
在職證明 100 n
工作交接 100 n
留任 100 v
轉調 100 v
異動 100 v
調動 100 v
升遷 100 v
晉升 100 v
降調 100 v
輔導員 100 n
導師 100 n

# === 績效考核 ===
績效 100 n
考核 100 n
評核 100 n
評估 100 n
年中評核 100 n
年中考核 100 n
年底評核 100 n
年底考核 100 n
績效回饋 100 n
考核回饋 100 n
績效改善 100 n
改善計畫 100 n
能力評估 100 n
職能評估 100 n
潛能發展 100 n
職能發展 100 n

# === 訓練發展 ===
訓練 100 n
培訓 100 n
教育訓練 100 n
組織訓練 100 n
部門訓練 100 n
在職訓練 100 n
線上訓練 100 n
數位訓練 100 n
網路訓練 100 n
內部講師 100 n
外部講師 100 n
證照 100 n
認證 100 n
訓練需求 100 n
訓練計畫 100 n
訓練評估 100 n
訓練紀錄 100 n

# === 薪資福利 ===
薪資 100 n
薪水 100 n
工資 100 n
薪酬 100 n
報酬 100 n
薪資條 100 n
薪水條 100 n
薪資單 100 n
薪資明細 100 n
薪資轉帳 100 n
薪轉帳戶 100 n
獎金 100 n
紅利 100 n
年終獎金 100 n
年終 100 n
員工紅利 100 n
專案獎金 100 n
三節獎金 100 n
團保 100 n
勞保 100 n
健保 100 n
勞工保險 100 n
全民健保 100 n
意外險 100 n
壽險 100 n
人壽保險 100 n
二代健保 100 n
補充保費 100 n
健保補充保費 100 n
退休金 100 n
勞退 100 n
舊制退休金 100 n
新制退休金 100 n
退休金提撥 100 n
扣繳憑單 100 n
所得稅 100 n
神通之星 100 n

# === 獎懲制度 ===
獎勵 100 n
嘉獎 100 n
記嘉獎 100 v
記功 100 v
大功 100 n
記大功 100 v
懲處 100 n
懲戒 100 n
申誡 100 n
警告 100 n
記申誡 100 v
記過 100 v
小過 100 n
大過 100 n
記大過 100 v

# === 職位職稱 ===
協理 100 n
副總 100 n
資深協理 100 n
委任經理人 100 n
委任主管 100 n
處長 100 n
部長 100 n
課長 100 n
組長 100 n
專員 100 n
資深專員 100 n
工程師 100 n
資深工程師 100 n
主任工程師 100 n
約聘人員 100 n
工讀生 100 n
企業實習生 100 n
研發替代役 100 n
直線主管 100 n
直屬主管 100 n
單位主管 100 n
權責主管 100 n
事業群主管 100 n

# === 組織架構 ===
組織架構 100 n
組織結構 100 n
組織層級 100 n
組織異動 100 n
部門異動 100 n
決策經營層 100 n
事業經營層 100 n
支援經營層 100 n
處級單位 100 n
部級單位 100 n
組級單位 100 n
員額 100 n
編制 100 n
人員編制 100 n
職責 100 n
職務 100 n
職掌 100 n

# === 專案業務 ===
專案 100 n
項目 100 n
專案管理 100 n
項目管理 100 n
專案執行 100 n
專案支援 100 n
內部支援 100 n
產品研發 100 n
研發補貼 100 n
成本代碼 100 n
成本中心 100 n
預算控制 100 n
人力預算 100 n
人員預算 100 n
專利申請 100 n
專利提案 100 n
專利獎勵 100 n
專利獎金 100 n

# === 流程作業 ===
申請 100 v
提出 100 v
填寫 100 v
送出 100 v
提報 100 v
簽核 100 v
核准 100 v
批准 100 v
審核 100 v
簽准 100 v
核決 100 v
呈核 100 v
送簽 100 v
呈報 100 v
報核 100 v
上簽 100 v
會簽 100 v
會辦 100 v
聯簽 100 v
副知 100 v
知會 100 v
抄送 100 v

# === IT系統 ===
簽核系統 100 n
差勤系統 100 n
訓練系統 100 n
員工服務系統 100 n
人事系統 100 n
單一入口網 100 n
公司入口網 100 n
技能資料庫 100 n
系統整合 100 n
資訊安全 100 n
雲端服務 100 n
物聯網 100 n
智慧城市 100 n
智慧交通 100 n
數位轉型 100 n
資料庫 100 n
伺服器 100 n
版本控管 100 n
建構管理 100 n
內部稽核 100 n
品質保證 100 n

# === 公司名稱 ===
神通 100 n
神通資訊 100 n
神通資科 100 n
神通資訊科技 100 n
神通電腦 100 n
聯華神通 100 n
神耀科技 100 n

# === 勞動法規 ===
勞動基準法 100 n
勞基法 100 n
勞動法 100 n
就業服務法 100 n
職業安全衛生法 100 n
職安法 100 n
勞安法 100 n
性騷擾防治 100 n
性別平等 100 n
勞資會議 100 n
團體協約 100 n
職災 100 n
職業災害 100 n
工傷 100 n
工作傷害 100 n
勞保給付 100 n
失能給付 100 n
死亡給付 100 n
健康檢查 100 n
臨場醫師 100 n
健康諮詢 100 n
異常工作負荷 100 n
長時間工作 100 n
輪班工作 100 n

# === 文件表單 ===
申請單 100 n
申請表 100 n
單據 100 n
表格 100 n
證明書 100 n
證明文件 100 n
同意書 100 n
承諾書 100 n
聲明書 100 n
切結書 100 n
作業程序 100 n
標準作業程序 100 n
管理辦法 100 n
實施細則 100 n
常見問題 100 n
問答集 100 n

# === 承辦相關 ===
承辦人 100 n
負責人 100 n
經辦人 100 n
辦理人 100 n
窗口 100 n
聯繫人 100 n
聯絡人 100 n
協辦人 100 n
會辦人 100 n
職務代理人 100 n
代理人 100 n
職務代理 100 n

# === 時間相關 ===
到期 100 v
期滿 100 v
屆期 100 v
截止 100 v
逾期 100 v
過期 100 v
遞延 100 v
延期 100 v
展延 100 v
延長 100 v
順延 100 v
即時 100 n
立即 100 adv
定期 100 n
不定期 100 n

# === 常用動作 ===
規定 100 n
辦法 100 n
準則 100 n
規範 100 n
制度 100 n
標準 100 n
條例 100 n
流程 100 n
程序 100 n
步驟 100 n
方法 100 n
方式 100 n
